"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bahrain","BHR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","6336.15308757939","7432.82866307297","7564.75823268957","7327.7763203919","7541.81460369889","5781.02320157712","4910.13478079425","5248.08732817794","5504.17861424127","5454.01365274605","5537.19387030051","8067.71655775237","7777.65866598194","7899.95076103195","8250.49068965912","8831.56092259412","9045.70976767014","8803.63869029755","8484.52830207057","8531.53212821674","11359.2801630441","10546.4880315818","10656.9128001192","11781.0477296214","13263.9033806762","15349.3208814214","16546.7228729658","18240.6188980477","19603.7363207312","15292.5670836341","16640.9029902762","17097.5868030681","17755.5585786935","18546.6442210007","17601.8279676446","19056.4087587222","19133.2150912759","20264.0552865819","",
"Bahamas, The","BHS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","5506.38499249123","5659.11230764715","6242.62556201545","6692.3942174478","7732.42966662248","8687.91960132647","9067.43271910797","9840.18247776911","10116.0867099807","11020.3550498427","11005.3936910287","10636.2319239626","10757.3717468855","10299.9879289474","10582.4671114154","13133.8713934734","14935.1013270823","20316.1639869626","21582.334667861","24123.3766385168","24870.7898424612","25081.7768882728","26433.5411582714","25978.0629125927","26001.5652188543","27751.3358238406","27937.189370046","28694.8696884843","28294.0645726567","26118.5030928326","25824.3779829236","25501.2309756884","27292.0347075592","26706.3266180002","26758.355481258","28079.6420081132","27169.1756630239","27265.9846710987","",
"Bosnia and Herzegovina","BIH","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250.932574452291","394.970018565694","656.052254733087","879.861253272471","1267.01725041497","1384.31193778063","1541.48803656144","1581.6291897772","1793.46493609905","2207.43214286284","2710.72569433866","2839.18356239845","3200.44328791119","3834.92336638326","4677.42230154547","4328.81964093925","4124.58569157203","4435.96351768629","4117.08108142144","4494.39747639068","4629.43826595458","4091.94013645711","4293.52551678778","4584.90603354495","",
"Belarus","BLR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1430.09295794735","1375.90290665881","1152.44171465962","1064.28806789065","1140.63772632396","1113.3810546847","1235.15256954088","1001.3113629225","1077.33904242114","1064.18422395167","1289.17109563394","1614.57274630057","2125.49275429151","2797.5987647819","3432.84406735927","4208.29747303082","5686.13761781728","4721.51643136505","5505.32848719373","5804.49226321661","6159.75988339789","6989.66564848153","7316.53117748676","5161.507439042","4339.74288564442","4979.85802629455","",
"Belize","BLZ","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1283.82409253713","1235.07596396625","1085.49887392594","1109.2089150731","1196.50641902437","1139.44362624631","1238.37628430926","1470.44765841022","1636.64034550386","1834.99549983833","2019.60265238148","2129.74283338353","2427.5684023256","2568.21640433574","2612.81888350239","2733.82246844005","2738.99600367646","2711.96666588063","2723.34452387265","2727.89721616119","2665.43128958037","2656.29981653104","2779.18120802496","2808.18464762001","2845.07545841012","2944.12517044687","3028.68568002629","2996.28579236744","2987.92750825968","3143.72916738368","3022.69845201245","3209.11088973122","3360.68689930562","3446.97978416696","3564.23791776263","3888.80414393389","3868.28457067001","3793.10602524157","",
"Bermuda","BMU","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","468.196300769865","534.323514533766","599.288356898187","660.348261551084","637.435744068716","842.967594186507","778.558052359303","746.101443571412","847.689474233227","727.649576332144","524.36550312971","564.984380830092","585.809657129454","583.630165611498","592.787971606569","657.274980599425","687.611533975711","685.712935207368","705.235306564501","777.608600520714","839.953548397078","886.43490865672","945.705861265334","889.001652619591","859.995045279176","827.351560578152","789.033205362014","775.261182206009","803.667437334504","830.543801403636","944.479396728702","1047.31005010901","1351.54736763871","1425.52784973113","1545.67101588493","1794.73059823344","1919.28280472733","2125.48668153972","2295.61636987199","2427.27268147694","2509.29252551396","2630.55102228015","",
"Brazil","BRA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","398.865651704161","453.849246517075","527.180163738744","691.961497830468","891.413657398297","1015.2125702797","1215.79010563082","1374.27885079751","1516.86874457163","1646.58143310044","1646.50708413242","1793.73273940696","1844.98194189798","1265.93209853026","1276.92935529248","1330.12275100982","1595.18832542034","1734.20912766131","1911.10007960576","2701.95529682608","2621.6740490712","3405.82444355595","2237.74357339987","2390.47356111163","2947.96075061016","4139.8234444003","4453.08280396206","4517.71022335204","4292.15237432644","2887.66161621449","3161.01812232559","2648.2448600152","2361.23104972208","2571.6358763729","3022.80042413785","3970.19296297627","4890.49903445349","6112.74612194682","7246.18377738001","7271.04457178903","9337.19418795313","10986.6076182981","10327.3860397184","10414.8932065331","10186.721288994","7447.22408753719","7405.91255644593","8397.11814360887","",
"Barbados","BRB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","4541.74114602644","4968.65413041144","5280.02194837279","5882.31240864601","6881.58784909966","6835.95444928894","6680.26326758694","6948.5349777656","7260.68398228489","7477.71615362464","7913.55013683706","8357.88270728574","9423.79021543043","9752.47808556097","10032.8246627034","9943.1885416574","10042.7518639758","10277.2182288213","10974.3931076707","12021.4641374521","12610.2514790168","14242.8570060825","14314.4739477515","13590.9481759577","13912.7365687165","13559.8161598657","13915.2827890937","13823.7509373181","13785.5311758674","13650.3998377252","13453.0258940372","13871.6335197304","",
"Brunei Darussalam","BRN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8595.46168423176","9271.06382675558","10811.6231696004","11682.1996409535","11225.1500433919","10959.1068015636","12402.0879511303","12742.6610219521","12660.3839061437","10259.2673222506","10955.5219676961","12603.0820504814","12284.6616393264","12659.6357981084","13709.8474091914","15837.0735869481","17906.8790516733","19723.3154069083","21390.7068245729","25803.0447250617","20864.0153506103","25507.6650034023","31907.0994515367","33687.5346210464","33729.4131419197","32512.1204487394","26426.2004798839","24338.8043209214","24573.4204477503","",
